,player,team,G,W,L,WR,K,D,A,KDA,CS,CS/M,G/M,DMG,DMG/M,KPAR,KS,GS,CP
0,Bjergsen,100_Thieves,13.6,12,8,60%,2.85,1.8,7.35,5.67,289.35,8.4,394,21.4k,621.4,73.6%,20.6%,22.1%,11
1,Busio,100_Thieves,8.1,12,8,60%,0.75,2.7,9.8,3.91,27.15,0.79,234,6.8k,196,76.2%,5.4%,13.1%,12
2,Closer,100_Thieves,11.3,12,8,60%,2.8,2.5,7.25,4.02,177.9,5.16,327,11.2k,324.8,72.6%,20.2%,18.3%,7
3,Doublelift,100_Thieves,15.8,12,8,60%,5.2,2.35,5.35,4.49,343.95,9.98,458,25.6k,741.8,76.2%,37.5%,25.7%,7
4,Tenacity,100_Thieves,12.8,12,8,60%,2.25,2.05,6.05,4.05,259.1,7.52,372,15.1k,437,59.9%,16.2%,20.8%,9
5,Berserker,Cloud9,14.6,15,4,78.9%,4.58,0.95,5.21,10.33,310.58,10.01,470,21.4k,689,68.9%,32.2%,25%,9
6,Blaber,Cloud9,11,15,4,78.9%,2.79,2.47,6.58,3.79,185.47,5.98,356,12.7k,408.6,65.9%,19.6%,18.9%,10
7,Fudge,Cloud9,12.4,15,4,78.9%,3.26,1.58,5.58,5.6,250.53,8.07,400,18k,580.9,62.2%,23%,21.3%,8
8,Zven,Cloud9,8.1,15,4,78.9%,0.84,2.05,9.74,5.15,30.84,0.99,260,7.3k,236.3,74.4%,5.9%,13.8%,9
9,EMENES,Cloud9,12.4,8,2,80%,2.6,2.8,5.3,2.82,253.5,8.41,410,18.3k,608.5,60.3%,19.8%,21.6%,8
10,Diplex,Cloud9,12,7,2,77.8%,2.89,1.33,6.11,6.75,262.11,8.18,374,18.7k,582.3,58.3%,18.7%,20.2%,7
11,Contractz,Counter_Logic_Gaming,11.4,10,9,52.6%,2.26,3,6.53,2.93,190.58,5.34,319,13.7k,383.6,70.2%,18.1%,17.9%,9
12,Dhokla,Counter_Logic_Gaming,13.9,10,9,52.6%,2.63,3.37,4.11,2,285,7.99,390,17.4k,487.3,53.8%,21%,21.8%,10
13,Luger,Counter_Logic_Gaming,15.3,10,9,52.6%,3.68,1.63,4.42,4.97,342.53,9.6,428,20k,560.7,64.7%,29.4%,24%,11
14,Palafox,Counter_Logic_Gaming,14.6,10,9,52.6%,3.37,2,4.89,4.13,317.58,8.9,410,22.6k,633.1,66%,26.9%,22.9%,11
15,Poome,Counter_Logic_Gaming,8.6,10,9,52.6%,0.58,3.05,8.68,3.03,35.53,1,240,6.5k,182.2,73.9%,4.6%,13.4%,11
16,Armut,Dignitas,12.1,3,15,16.7%,1.83,2.94,2.89,1.6,257.39,7.77,365,15.4k,464.8,58.6%,22.8%,22.4%,8
17,Jensen,Dignitas,12.6,3,15,16.7%,2.5,2.94,2.89,1.83,288.11,8.69,381,19k,574,66.9%,31%,23.4%,11
18,Santorin,Dignitas,9.6,3,15,16.7%,1.33,2.78,4.5,2.1,159.28,4.81,290,8.8k,264.5,72.4%,16.6%,17.8%,7
19,IgNar,Dignitas,7.4,3,9,25%,0.42,2.67,6.25,2.5,23.33,0.67,213,6k,173.6,67.8%,4.2%,12.9%,7
20,Tomo,Dignitas,14.8,3,6,33.3%,3.56,3.11,4.67,2.64,333,9.23,411,26.7k,740.8,68.5%,29.6%,24.6%,6
21,Spawn,Dignitas,10.6,0,9,0%,0.67,3,0.89,0.52,258,8.55,350,12.2k,405.2,37.8%,16.2%,22.1%,6
22,Biofrost,Dignitas,6.2,0,6,0%,0,2.67,2.33,0.88,23.83,0.79,207,4.8k,158.4,51.9%,0%,13.1%,4
23,FBI,Evil_Geniuses_2e-NA,16.7,10,9,52.6%,4.95,1.89,5.11,5.31,355.63,9.47,446,28.8k,767.7,74.9%,36.9%,24.8%,6
24,Inspired,Evil_Geniuses_2e-NA,12,10,9,52.6%,1.21,1.89,8.53,5.14,203.89,5.43,318,13.1k,347.6,72.5%,9%,17.7%,8
25,Ssumday,Evil_Geniuses_2e-NA,14.6,10,9,52.6%,2.63,1.84,5,4.14,303.89,8.09,389,17k,452.5,56.9%,19.6%,21.7%,9
26,Vulcan,Evil_Geniuses_2e-NA,8.9,10,9,52.6%,0.84,2.21,9.79,4.81,28,0.75,237,7.8k,208.6,79.2%,6.3%,13.2%,9
27,jojopyun,Evil_Geniuses_2e-NA,15.1,9,9,50%,3.72,3.78,5.56,2.46,318.89,8.5,402,25k,666.3,70.8%,28.4%,22.5%,12
28,ry0ma,Evil_Geniuses_2e-NA,17.6,1,0,100%,5,1,6,11,371,9.7,459,29.4k,768.3,57.9%,26.3%,24%,1
29,Impact,FlyQuest,12.3,14,5,73.7%,2.26,2.05,5.21,3.64,246.58,7.7,383,14.2k,442.1,52.6%,15.9%,20.4%,6
30,Prince,FlyQuest,15.4,14,5,73.7%,5.32,1.63,4.21,5.84,323.63,10.1,479,20.5k,638.7,67%,37.4%,25.6%,9
31,Spica,FlyQuest,11.2,14,5,73.7%,2.53,2.21,7.84,4.69,184.89,5.77,349,12.1k,378.9,73%,17.8%,18.6%,7
32,VicLa,FlyQuest,13.1,14,5,73.7%,3.37,2.79,6.21,3.43,268.05,8.37,409,19.2k,600.4,67.4%,23.7%,21.8%,12
33,Eyla,FlyQuest,7.9,6,4,60%,0.5,2.6,9,3.65,32,1,246,4.6k,143.1,70.4%,3.7%,13.4%,7
34,Winsome,FlyQuest,8.3,8,1,88.9%,1,1.89,9.33,5.47,29.78,0.93,259,4.7k,146.8,68.9%,6.7%,13.5%,8
35,huhi,Golden_Guardians,8.2,9,9,50%,1.17,1.89,8.72,5.24,29,0.88,248,7.1k,216,77.1%,9.1%,13.9%,12
36,Licorice,Golden_Guardians,12.3,9,9,50%,1.39,2.72,3.94,1.96,258.17,7.8,370,12.6k,380.2,41.6%,10.8%,20.7%,8
37,River,Golden_Guardians,10.7,9,9,50%,2.44,2.67,6.72,3.44,166.44,5.03,324,11.7k,353.2,71.4%,19%,18.2%,7
38,Stixxay,Golden_Guardians,14.5,9,9,50%,4.39,2.06,3.83,4,311.78,9.42,438,20.2k,609.1,64.1%,34.2%,24.5%,9
39,Gori,Golden_Guardians,13.5,9,7,56.3%,3.63,2.19,5.31,4.09,282.75,8.58,408,22.5k,681.7,68.1%,27.6%,22.7%,10
40,Young,Golden_Guardians,12.7,0,2,0%,2,5,3.5,1.1,271.5,7.92,371,15.6k,456.1,52.4%,19%,21.8%,2
41,Fleshy,Immortals,7.3,4,14,22.2%,0.61,2.83,5.94,2.31,34,1.04,223,4.9k,148.6,74.2%,6.9%,13.4%,6
42,Kenvi,Immortals,10.2,4,14,22.2%,1.94,3.28,3.89,1.78,180,5.51,314,9.7k,297.4,66%,22%,18.8%,8
43,Revenge,Immortals,11.8,4,14,22.2%,1.72,3.06,3.44,1.69,264.89,8.11,362,15.5k,474.7,58.5%,19.5%,21.8%,8
44,Tactical,Immortals,13.2,4,14,22.2%,2.78,2.56,3.33,2.39,300.78,9.21,405,21.2k,647.6,69.2%,31.4%,24.4%,9
45,Ablazeolive,Immortals,11.1,2,9,18.2%,0.91,3.45,2.45,0.97,268.36,8.57,354,16.7k,534,52.9%,14.3%,21.7%,7
46,Bolulu,Immortals,12.8,2,5,28.6%,3.14,1.57,5.86,5.73,264.86,7.61,367,24.5k,705,70.8%,24.7%,21.5%,4
47,CoreJJ,Team_Liquid,8.1,8,10,44.4%,0.72,2.33,8.56,3.98,29.67,0.86,233,5.8k,166.7,75.6%,5.9%,13.1%,11
48,Haeri,Team_Liquid,13.9,8,10,44.4%,3.5,2.83,3.94,2.63,302.44,8.74,401,21.6k,624.7,60.6%,28.5%,22.6%,8
49,Pyosik,Team_Liquid,11.3,8,10,44.4%,2.67,2.44,5.83,3.48,190,5.49,326,11.1k,320.2,69.2%,21.7%,18.4%,9
50,Summit,Team_Liquid,13.6,8,10,44.4%,2.22,3.17,4.44,2.11,288.28,8.33,394,19.3k,557.4,54.3%,18.1%,22.2%,10
51,Yeon,Team_Liquid,14.5,8,10,44.4%,3.17,2.17,4.33,3.46,326.39,9.43,419,21.3k,616.5,61.1%,25.8%,23.6%,10
52,Bugi,TSM,11.2,8,10,44.4%,2.11,3.33,6.61,2.62,184.83,5.33,324,12.7k,365.6,74.4%,18%,18.7%,7
53,Chime,TSM,7.9,8,10,44.4%,0.39,2.28,9.11,4.17,25.56,0.74,227,6.5k,186.6,81%,3.3%,13.1%,8
54,Maple,TSM,13.9,8,10,44.4%,3.61,2.56,5,3.37,291.06,8.4,401,24k,691.9,73.5%,30.8%,23.2%,10
55,Solo,TSM,12.4,7,9,43.8%,1.31,3.25,5.69,2.15,263,7.46,353,15.2k,430.5,60.5%,11.4%,20.4%,7
56,Neo,TSM,13.7,5,6,45.5%,3.73,2.45,4.09,3.19,283.64,8.55,412,18.5k,557.7,72.3%,34.5%,23.9%,6
57,WildTurtle,TSM,16.3,3,4,42.9%,4.86,2.43,4.86,4,357.29,9.66,442,28.5k,770.8,73.9%,37%,25.5%,6
58,Hauntzer,TSM,10.5,1,1,50%,2.5,1,5,7.5,217.5,7.25,350,13.8k,461.9,57.7%,19.2%,20.1%,2
